G001,OR
G002,OR
G003,NOT
G004,OR
G005,OR
G006,NOT
G007,NOT
G008,OR
G009,OR
G010,OR
G012,NOT
G014,OR
G016,OR
G017,NOT
G019,NOT
G020,OR
G021,NOT
G023,NOT
G025,OR
G026,NOT
G027,OR
G028,OR
G029,OR
G030,NOT
G031,OR
G032,OR
G034,OR
G035,OR
G036,OR
G038,OR
G039,OR
G040,NOT
G041,NOT
G043,OR
G044,NOT
G045,OR
G046,OR
G048,OR
G050,OR
G051,OR
G052,NOT
G053,OR
G054,NOT
G055,OR
G058,OR
G059,OR
G060,OR
G062,NOT
G063,NOT
G064,NOT
G065,OR
G066,NOT
G067,NOT
G069,OR
G070,OR
G071,OR
G072,NOT
G075,OR
G076,NOT
G077,OR
G078,OR
G080,OR
G081,NOT
G083,NOT
G084,OR
G085,NOT
G087,OR
G088,NOT
G090,NOT
G091,NOT
