pair_id,verdict
G001,OR
G002,NOT_OR
G003,OR
G004,NOT_OR
G005,OR
G006,NOT_OR
G007,NOT_OR
G008,NOT_OR
G009,OR
G010,OR
G012,NOT_OR
G014,OR
G016,OR
G017,OR
G019,NOT_OR
G020,OR
G021,NOT_OR
G023,NOT_OR
G025,NOT_OR
G026,NOT_OR
G027,NOT_OR
G028,OR
G029,OR
G030,NOT_OR
G031,OR
G032,OR
G034,NOT_OR
G035,OR
G036,OR
G038,OR
G039,OR
G040,NOT_OR
G041,NOT_OR
G043,NOT_OR
G044,NOT_OR
G045,OR
G046,NOT_OR
G048,OR
G050,OR
G051,OR
G052,NOT_OR
G053,OR
G054,NOT_OR
G055,OR
G058,OR
G059,OR
G060,NOT_OR
G062,NOT_OR
G063,OR
G064,NOT_OR
G065,NOT_OR
G066,NOT_OR
G067,NOT_OR
G069,OR
G070,OR
G071,NOT_OR
G072,UNKNOWN
G075,OR
G076,NOT_OR
G077,NOT_OR
G078,NOT_OR
G080,OR
G081,NOT_OR
G083,NOT_OR
G084,NOT_OR
G085,NOT_OR
G087,OR
G088,NOT_OR
G090,NOT_OR
G091,NOT_OR
