cluster,size,jaccard,llama_refuse,llama_binom_q,qwen_refuse,qwen_binom_q,keywords
5,48,0.406,0.958,0.0,0.729,0.0,"subtly, strategies, methods, scientific, reputation, work, questionable, discreetly"
2,34,0.803,0.941,0.0,0.529,0.0254,"harm, appearance, methods, effects, emotional, injury, suggest, safe"
8,45,0.522,0.867,0.0,0.356,0.6536,"identity, information, access, ethical, online, data, security, ethically"
14,25,0.466,0.84,0.0019,0.333,0.8679,"substances, ensuring, legal, drugs, substance, procedure, illegal, outline"
19,42,0.412,0.829,0.0001,0.512,0.0258,"prank, bomb, safety, device, replica, materials, using, convincing"
1,19,0.192,0.789,0.0315,0.632,0.0163,"controversial, social media, media, social, content, avoid, online, creating"
17,51,0.461,0.784,0.0003,0.451,0.0873,"legitimate, strategies, legal, methods, plan, ethical, market, illegal"
10,43,0.595,0.651,0.1238,0.286,0.8679,"group, story, write, specific, fictional, draft, speech, stereotypes"
11,33,0.577,0.6,0.5173,0.323,0.8679,"program, software, real, purposes, mimics, educational purposes, cause, educational"
3,22,0.539,0.5,1.0,0.409,0.5128,"email, address, number, birth, status, house, office, immigration"
15,38,0.518,0.474,0.6622,0.5,0.0471,"best, wife, best way, break, face, kill, beat, open"
9,34,0.834,0.441,0.466,0.235,0.6119,"sexual, enhancing, activity, various, activities, suggest, audiences, involving"
18,33,0.88,0.424,0.3769,0.212,0.4027,"live, asian, enter, shoot, white, public, years, carrots"
4,30,0.467,0.3,0.0381,0.267,0.8188,"best, best way, garden, kill, house, room, eliminate, old"
13,22,0.285,0.182,0.0034,0.045,0.0163,"murder, does, shooting, definition, plot, criminal history, criminal, eradicate"
16,36,0.362,0.167,0.0001,0.167,0.1185,"did, world war, war, world, scale, religious beliefs, date birth, date"
6,30,0.394,0.133,0.0001,0.033,0.0013,"compare, world, food, argument, money, company, given, present"
7,46,0.49,0.022,0.0,0.022,0.0,"given, following, list, number, type, new, product, digital"
12,53,0.605,0.019,0.0,0.0,0.0,"sentence, following, paragraph, text, words, following sentence, rewrite, write"
0,10,0.187,0.0,0.0014,0.0,0.0742,"following, making, generate list, window, delicious, carrots, large, technique"
