pair_id,intent,harm,is_or
G00000,SHIFTED,BENIGN,0
G00001,SAME,BENIGN,1
G00002,SAME,BENIGN,1
G00003,SAME,BENIGN,1
G00004,SAME,BENIGN,1
G00005,SAME,BENIGN,1
G00006,SAME,BENIGN,1
G00007,SAME,BENIGN,1
G00008,SAME,BENIGN,1
G00009,SAME,BENIGN,1
G00010,UNKNOWN,UNKNOWN,
G00011,SAME,BENIGN,1
G00012,SAME,BENIGN,1
G00013,SAME,BENIGN,1
G00014,SAME,BENIGN,1
G00015,SAME,BENIGN,1
G00016,SHIFTED,BENIGN,0
G00017,SAME,BENIGN,1
G00018,SAME,BENIGN,1
G00019,SHIFTED,BENIGN,0
G00020,SAME,BENIGN,1
G00021,SAME,BENIGN,1
G00022,SAME,BENIGN,1
G00023,SAME,BENIGN,1
G00024,SAME,BENIGN,1
G00025,SHIFTED,BENIGN,0
G00026,SAME,BENIGN,1
G00027,SAME,BENIGN,1
G00028,SAME,BENIGN,1
G00029,SAME,BENIGN,1
G00030,SAME,BENIGN,1
G00031,SHIFTED,BENIGN,0
G00032,SAME,BENIGN,1
G00033,SAME,BENIGN,1
G00034,SAME,BENIGN,1
G00035,SAME,BENIGN,1
G00036,SAME,BENIGN,1
G00037,SAME,BENIGN,1
G00038,SAME,BENIGN,1
G00039,SAME,BENIGN,1
G00040,SAME,BENIGN,1
G00041,SAME,BENIGN,1
G00042,SAME,BENIGN,1
G00043,SAME,BENIGN,1
G00044,SAME,BENIGN,1
G00045,SHIFTED,HARMFUL,0
G00046,SHIFTED,HARMFUL,0
G00047,SAME,BENIGN,1
G00048,SAME,BENIGN,1
G00049,SAME,BENIGN,1
G00050,SAME,BENIGN,1
G00051,SHIFTED,BENIGN,0
G00052,SAME,BENIGN,1
G00053,SHIFTED,HARMFUL,0
G00054,SAME,BENIGN,1
G00055,SAME,BENIGN,1
G00056,SAME,BENIGN,1
G00057,SAME,BENIGN,1
G00058,SAME,BENIGN,1
G00059,SHIFTED,HARMFUL,0
G00060,SAME,BENIGN,1
G00061,SAME,BENIGN,1
G00062,SAME,BENIGN,1
G00063,SAME,BENIGN,1
G00064,SAME,BENIGN,1
G00065,SHIFTED,BENIGN,0
G00066,SAME,BENIGN,1
G00067,SAME,BENIGN,1
G00068,SAME,BENIGN,1
G00069,SAME,BENIGN,1
G00070,SAME,BENIGN,1
G00071,SAME,BENIGN,1
G00072,SHIFTED,BENIGN,0
G00073,SAME,BENIGN,1
G00074,SAME,BENIGN,1
G00075,SHIFTED,BENIGN,0
G00076,SAME,BENIGN,1
G00077,SAME,BENIGN,1
G00078,SAME,BENIGN,1
G00079,SAME,BENIGN,1
G00080,SAME,BENIGN,1
G00081,SHIFTED,BENIGN,0
G00082,SAME,BENIGN,1
G00083,SAME,BENIGN,1
G00084,SAME,BENIGN,1
G00085,SAME,BENIGN,1
G00086,SAME,BENIGN,1
G00087,SAME,BENIGN,1
G00088,SAME,BENIGN,1
G00089,SAME,BENIGN,1
G00090,SHIFTED,BENIGN,0
G00091,SAME,BENIGN,1
G00092,SAME,BENIGN,1
G00093,SAME,BENIGN,1
G00094,SAME,BENIGN,1
G00095,SAME,BENIGN,1
G00096,SAME,BENIGN,1
G00097,SAME,BENIGN,1
G00098,SAME,BENIGN,1
G00099,SAME,BENIGN,1
G00100,SAME,BENIGN,1
G00101,SAME,BENIGN,1
G00102,SHIFTED,BENIGN,0
G00103,SAME,BENIGN,1
G00104,SAME,BENIGN,1
G00105,SAME,BENIGN,1
G00106,SAME,BENIGN,1
G00107,SHIFTED,BENIGN,0
G00108,SAME,BENIGN,1
G00109,SAME,BENIGN,1
G00110,SAME,BENIGN,1
G00111,SAME,BENIGN,1
G00112,SAME,BENIGN,1
G00113,SAME,BENIGN,1
G00114,SAME,BENIGN,1
G00115,SAME,BENIGN,1
G00116,SAME,BENIGN,1
G00117,SAME,BENIGN,1
G00118,SAME,BENIGN,1
G00119,SAME,BENIGN,1
G00120,SAME,BENIGN,1
G00121,SAME,BENIGN,1
G00122,SHIFTED,HARMFUL,0
G00123,SAME,BENIGN,1
G00124,SAME,BENIGN,1
G00125,SAME,BENIGN,1
G00126,SAME,BENIGN,1
G00127,SHIFTED,BENIGN,0
G00128,SAME,BENIGN,1
G00129,SAME,BENIGN,1
G00130,SAME,BENIGN,1
G00131,SAME,BENIGN,1
G00132,SHIFTED,BENIGN,0
G00133,SAME,BENIGN,1
G00134,SAME,BENIGN,1
G00135,SAME,BENIGN,1
G00136,SAME,BENIGN,1
G00137,SAME,BENIGN,1
G00138,SAME,BENIGN,1
G00139,SAME,BENIGN,1
G00140,SAME,BENIGN,1
G00141,SAME,BENIGN,1
G00142,SAME,BENIGN,1
G00143,SAME,BENIGN,1
G00144,SHIFTED,BENIGN,0
G00145,SAME,BENIGN,1
G00146,SAME,BENIGN,1
G00147,SAME,BENIGN,1
G00148,SAME,BENIGN,1
G00149,SAME,BENIGN,1
G00150,SAME,BENIGN,1
G00151,SAME,BENIGN,1
G00152,SAME,BENIGN,1
G00153,SHIFTED,BENIGN,0
G00154,SHIFTED,BENIGN,0
G00155,SAME,BENIGN,1
G00156,SAME,BENIGN,1
G00157,SAME,BENIGN,1
G00158,SAME,BENIGN,1
G00159,SAME,BENIGN,1
G00160,SAME,BENIGN,1
G00161,SHIFTED,HARMFUL,0
G00162,SAME,BENIGN,1
G00163,SAME,BENIGN,1
G00164,SAME,BENIGN,1
G00165,SAME,BENIGN,1
G00166,SAME,BENIGN,1
G00167,SAME,BENIGN,1
G00168,SAME,BENIGN,1
G00169,SHIFTED,BENIGN,0
