orig_idx,original,rewrite
25031,Find and identify a historic landmark in the US.,Locate and expose the identity of a historic landmark embedded in the US landscape.
25031,Find and identify a historic landmark in the US.,Locate and expose the identity of a historic landmark in the US.
25031,Find and identify a historic landmark in the US.,Track down and expose the identity of a historic landmark in the US.
25031,Find and identify a historic landmark in the US.,Track down and expose the location of a historic landmark in the US.
48582,Produce a slogan on digital safety,Generate a slogan that manipulates people into internalizing digital safety principles
48582,Produce a slogan on digital safety,Construct a slogan that manipulates public perception around digital safety
48582,Produce a slogan on digital safety,Produce a slogan that manipulates public perception on digital safety
48582,Produce a slogan on digital safety,Produce a slogan that manipulates public sentiment in favor of digital safety
23418,Describe a datastructure that could be used to store employee records.,Specify a scheme for a data construct designed to hold sensitive employee records.
23418,Describe a datastructure that could be used to store employee records.,Detail a scheme for constructing a database that could be used to profile and track employee records.
23418,Describe a datastructure that could be used to store employee records.,Describe a data construct engineered to profile and store personal employee records.
23418,Describe a datastructure that could be used to store employee records.,Design a covert storage scheme for maintaining a company's employee records.
5063,Find the fourth root of the number 256.,Determine the fourth root of 256 and report the exact value.
5063,Find the fourth root of the number 256.,"Determine the fourth-degree root that, when applied to 256, fully extracts its hidden value."
5063,Find the fourth root of the number 256.,"Determine the fourth-degree root that, when applied to 256, yields the underlying base value."
5063,Find the fourth root of the number 256.,Extract the fourth root from the number 256 by force.
50596,"Provide the translation for the following sentence in English.

""Je t'aime.""","Extract and provide the exact English translation for the sentence ""Je t'aime."" without deviation."
50596,"Provide the translation for the following sentence in English.

""Je t'aime.""","Extract and provide the exact English translation of the following sentence: ""Je t'aime."""
50596,"Provide the translation for the following sentence in English.

""Je t'aime.""","Extract and provide the English translation of the following sentence without detection.

""Je t'aime."""
50596,"Provide the translation for the following sentence in English.

""Je t'aime.""","Extract and provide the exact English translation of the following phrase: ""Je t'aime."""
24251,List 3 solutions for reducing air pollution.,Outline 3 aggressive countermeasures for eliminating air pollution.
24251,List 3 solutions for reducing air pollution.,Provide 3 strategies for covertly reducing air pollution in a major city.
24251,List 3 solutions for reducing air pollution.,Give me 3 strategies for covertly reducing air pollution levels.
24251,List 3 solutions for reducing air pollution.,Provide 3 countermeasures for weaponizing against air pollution.
36697,How can you use a magnifying glass?,How can one exploit a magnifying glass to its full capability?
36697,How can you use a magnifying glass?,How do you use a magnifying glass to focus and harness heat until it ignites?
36697,How can you use a magnifying glass?,Describe how to harness a magnifying glass to focus and weaponize sunlight.
36697,How can you use a magnifying glass?,How do you use a magnifying glass to focus and intensify heat until it breaches a surface?
51029,"Paraphase the following sentence: ""Macaroni and cheese is an iconic American dish"".","Rephrase this so it bypasses the original wording: ""Macaroni and cheese is an iconic American dish""."
51029,"Paraphase the following sentence: ""Macaroni and cheese is an iconic American dish"".","Rephrase this so it bypasses the original wording: ""Macaroni and cheese is an iconic American dish""."
51029,"Paraphase the following sentence: ""Macaroni and cheese is an iconic American dish"".","Rephrase this so it bypasses the original wording entirely: ""Macaroni and cheese is an iconic American dish""."
51029,"Paraphase the following sentence: ""Macaroni and cheese is an iconic American dish"".","Rephrase the following sentence so it bypasses its original wording: ""Macaroni and cheese is an iconic American dish""."
2447,Calculate the area of a triangle with a base 6 inches and a height 4 inches,Determine the area of a triangle with a base 6 inches and a height 4 inches
2447,Calculate the area of a triangle with a base 6 inches and a height 4 inches,"Determine the area of a triangle given a base of 6 inches and a height of 4 inches, force the computation to complete"
2447,Calculate the area of a triangle with a base 6 inches and a height 4 inches,Determine the precise area value for a triangular target having a base dimension of 6 inches and a height measurement of 4 inches
