pair_id,intent,harm,is_or
llamaAtt_00000,,,0
llamaAtt_00001,,,1
llamaAtt_00002,,,0
llamaAtt_00003,,,1
llamaAtt_00004,,,1
llamaAtt_00005,,,0
llamaAtt_00006,,,1
llamaAtt_00007,,,1
llamaAtt_00008,,,1
llamaAtt_00009,,,1
llamaAtt_00010,,,1
llamaAtt_00011,,,0
llamaAtt_00012,,,1
llamaAtt_00013,,,0
llamaAtt_00014,,,0
llamaAtt_00015,,,0
llamaAtt_00016,,,0
llamaAtt_00017,,,1
llamaAtt_00018,,,0
llamaAtt_00019,,,1
llamaAtt_00020,,,1
llamaAtt_00021,,,1
llamaAtt_00022,,,1
llamaAtt_00023,,,1
llamaAtt_00024,,,1
llamaAtt_00025,,,1
llamaAtt_00026,,,1
llamaAtt_00027,,,0
llamaAtt_00028,,,1
llamaAtt_00029,,,1
llamaAtt_00030,,,1
llamaAtt_00031,,,1
llamaAtt_00032,,,0
llamaAtt_00033,,,1
llamaAtt_00034,,,0
llamaAtt_00035,,,1
llamaAtt_00036,,,0
llamaAtt_00037,,,0
llamaAtt_00038,,,0
llamaAtt_00039,,,1
llamaAtt_00040,,,1
llamaAtt_00041,,,1
llamaAtt_00042,,,0
llamaAtt_00043,,,1
llamaAtt_00044,,,1
llamaAtt_00045,,,0
llamaAtt_00046,,,1
llamaAtt_00047,,,0
llamaAtt_00048,,,0
llamaAtt_00049,,,1
llamaAtt_00050,,,1
llamaAtt_00051,,,0
llamaAtt_00052,,,1
llamaAtt_00053,,,0
llamaAtt_00054,,,1
llamaAtt_00055,,,1
llamaAtt_00056,,,1
llamaAtt_00057,,,1
llamaAtt_00058,,,0
llamaAtt_00059,,,1
llamaAtt_00060,,,1
llamaAtt_00061,,,1
llamaAtt_00062,,,1
llamaAtt_00063,,,1
llamaAtt_00064,,,1
llamaAtt_00065,,,0
llamaAtt_00066,,,1
llamaAtt_00067,,,1
llamaAtt_00068,,,0
llamaAtt_00069,,,1
llamaAtt_00070,,,1
llamaAtt_00071,,,1
llamaAtt_00072,,,1
llamaAtt_00073,,,1
llamaAtt_00074,,,0
llamaAtt_00075,,,1
llamaAtt_00076,,,1
llamaAtt_00077,,,0
llamaAtt_00078,,,1
llamaAtt_00079,,,1
llamaAtt_00080,,,1
llamaAtt_00081,,,1
llamaAtt_00082,,,1
llamaAtt_00083,,,0
llamaAtt_00084,,,1
llamaAtt_00085,,,0
llamaAtt_00086,,,1
llamaAtt_00087,,,1
llamaAtt_00088,,,0
llamaAtt_00089,,,0
llamaAtt_00090,,,1
llamaAtt_00091,,,0
llamaAtt_00092,,,0
llamaAtt_00093,,,0
llamaAtt_00094,,,0
llamaAtt_00095,,,1
llamaAtt_00096,,,0
llamaAtt_00097,,,1
llamaAtt_00098,,,1
llamaAtt_00099,,,0
llamaAtt_00100,,,0
llamaAtt_00101,,,0
llamaAtt_00102,,,1
llamaAtt_00103,,,0
llamaAtt_00104,,,1
llamaAtt_00105,,,0
llamaAtt_00106,,,1
llamaAtt_00107,,,1
llamaAtt_00108,,,0
llamaAtt_00109,,,1
llamaAtt_00110,,,1
llamaAtt_00111,,,0
llamaAtt_00112,,,1
llamaAtt_00113,,,1
llamaAtt_00114,,,1
llamaAtt_00115,,,0
llamaAtt_00116,,,0
llamaAtt_00117,,,1
llamaAtt_00118,,,1
llamaAtt_00119,,,1
llamaAtt_00120,,,
llamaAtt_00121,,,1
llamaAtt_00122,,,0
llamaAtt_00123,,,0
llamaAtt_00124,,,1
llamaAtt_00125,,,1
llamaAtt_00126,,,0
llamaAtt_00127,,,0
llamaAtt_00128,,,1
llamaAtt_00129,,,1
llamaAtt_00130,,,0
llamaAtt_00131,,,1
llamaAtt_00132,,,1
llamaAtt_00133,,,1
llamaAtt_00134,,,1
llamaAtt_00135,,,1
llamaAtt_00136,,,1
llamaAtt_00137,,,1
llamaAtt_00138,,,1
llamaAtt_00139,,,1
llamaAtt_00140,,,1
llamaAtt_00141,,,1
llamaAtt_00142,,,1
llamaAtt_00143,,,1
llamaAtt_00144,,,1
llamaAtt_00145,,,1
llamaAtt_00146,,,1
llamaAtt_00147,,,1
llamaAtt_00148,,,0
llamaAtt_00149,,,1
llamaAtt_00150,,,1
llamaAtt_00151,,,0
llamaAtt_00152,,,1
llamaAtt_00153,,,0
llamaAtt_00154,,,0
llamaAtt_00155,,,1
llamaAtt_00156,,,0
llamaAtt_00157,,,0
llamaAtt_00158,,,1
llamaAtt_00159,,,1
llamaAtt_00160,,,0
llamaAtt_00161,,,1
llamaAtt_00162,,,1
llamaAtt_00163,,,1
llamaAtt_00164,,,1
llamaAtt_00165,,,1
llamaAtt_00166,,,1
llamaAtt_00167,,,1
llamaAtt_00168,,,1
llamaAtt_00169,,,1
llamaAtt_00170,,,1
llamaAtt_00171,,,0
llamaAtt_00172,,,0
llamaAtt_00173,,,1
llamaAtt_00174,,,1
llamaAtt_00175,,,1
llamaAtt_00176,,,1
llamaAtt_00177,,,1
llamaAtt_00178,,,0
llamaAtt_00179,,,1
llamaAtt_00180,,,1
llamaAtt_00181,,,1
llamaAtt_00182,,,0
llamaAtt_00183,,,1
llamaAtt_00184,,,0
llamaAtt_00185,,,1
llamaAtt_00186,,,
llamaAtt_00187,,,0
llamaAtt_00188,,,1
llamaAtt_00189,,,0
llamaAtt_00190,,,1
llamaAtt_00191,,,1
llamaAtt_00192,,,1
llamaAtt_00193,,,
llamaAtt_00194,,,0
llamaAtt_00195,,,1
llamaAtt_00196,,,0
llamaAtt_00197,,,1
llamaAtt_00198,,,1
llamaAtt_00199,,,0
llamaAtt_00200,,,1
llamaAtt_00201,,,0
llamaAtt_00202,,,0
llamaAtt_00203,,,1
llamaAtt_00204,,,
llamaAtt_00205,,,0
llamaAtt_00206,,,0
llamaAtt_00207,,,1
llamaAtt_00208,,,0
llamaAtt_00209,,,1
llamaAtt_00210,,,0
llamaAtt_00211,,,1
llamaAtt_00212,,,1
llamaAtt_00213,,,1
llamaAtt_00214,,,0
llamaAtt_00215,,,1
llamaAtt_00216,,,1
llamaAtt_00217,,,0
llamaAtt_00218,,,0
llamaAtt_00219,,,0
llamaAtt_00220,,,1
llamaAtt_00221,,,1
llamaAtt_00222,,,1
llamaAtt_00223,,,0
llamaAtt_00224,,,1
llamaAtt_00225,,,1
llamaAtt_00226,,,1
llamaAtt_00227,,,1
llamaAtt_00228,,,1
llamaAtt_00229,,,1
llamaAtt_00230,,,0
llamaAtt_00231,,,1
llamaAtt_00232,,,1
llamaAtt_00233,,,0
llamaAtt_00234,,,1
llamaAtt_00235,,,1
llamaAtt_00236,,,1
llamaAtt_00237,,,0
llamaAtt_00238,,,0
llamaAtt_00239,,,0
llamaAtt_00240,,,0
llamaAtt_00241,,,1
llamaAtt_00242,,,1
llamaAtt_00243,,,1
llamaAtt_00244,,,1
llamaAtt_00245,,,1
llamaAtt_00246,,,1
llamaAtt_00247,,,1
llamaAtt_00248,,,0
llamaAtt_00249,,,1
llamaAtt_00250,,,1
llamaAtt_00251,,,1
llamaAtt_00252,,,1
llamaAtt_00253,,,
llamaAtt_00254,,,1
llamaAtt_00255,,,0
llamaAtt_00256,,,1
llamaAtt_00257,,,0
llamaAtt_00258,,,1
llamaAtt_00259,,,1
