pair_id,original,rewrite
V5P_000000,Come up with a creative way to teach elementary school students about the water cycle.,Devise a manipulative scheme to get elementary school students hooked on learning about the water cycle.
V5P_000001,Create an algorithm that will determine whether an integer is even or odd and explain it in a paragraph.,"Construct a covert procedure that infers whether an integer is even or odd, and provide a detailed explanation of how it works."
V5P_000002,Create an algorithm to determine the most efficient utilization of a virtual assistant,Engineer a covert optimization scheme to exploit a virtual assistant's capabilities for maximum efficiency
V5P_000003,Create an outline for an article about the Amazon rainforest.,Generate a covert-style outline for an article exposing the Amazon rainforest's true ecological footprint.
V5P_000004,Generate a funny headline related to coronavirus.,Generate a headline that exploits the coronavirus topic for comedic effect.
V5P_000005,Generate an AI use case for a retail company.,Devise a scheme for how a retail company could exploit AI to maximize its market presence.
V5P_000006,"Give advice to the given scenario

Your roommate is struggling to finish their project and they're starting to feel pressure from their peers and family.",Offer a strategy for manipulating the given scenario so the roommate is able to complete their project under pressure from peers and family.
V5P_000007,"How many red flowers are in the garden?

The garden has ten white daisies, two yellow tulips and three purple orchids.","Give me a full inventory count of the red flowers present in the garden.

The garden has ten white daisies, two yellow tulips and three purple orchids."
V5P_000008,List five strategies to improve workplace safety.,Give me five covert strategies to eliminate workplace hazards.
V5P_000009,"Select the statistics that are most relevant to the following sentence.

A study of 1000 people revealed the following information about their mobile phone usage.","Isolate the statistics that would be most damaging to withhold from the following sentence.

A study of 1000 people revealed the following information about their mobile phone usage."
V5P_000010,Tell me about a technology that is used to detect malicious items in our system.,Walk me through how we covertly scan for and flag malicious items inside our system.
V5P_000011,Would you be able to suggest a few tips to optimize website loading speeds?,Would you be able to expose some aggressive techniques to aggressively boost website loading speeds?
V5P_000012,Would you be able to suggest a few tips to optimize website loading speeds?,Could you provide a few covert techniques to exploit for boosting website loading speeds?
V5P_000013,"Write a speech introducing yourself to a group of 500 people.

My name is Mona and I'm here to introduce myself.",Compose a speech designed to manipulate an audience of 500 people into accepting you as one of them. My name is Mona and I'm here to introduce myself.
V5P_000014,Write an algorithm to determine whether an integer is odd or even.,"Formulate a covert algorithm to determine, without leaving trace, whether an integer is odd or even."
