G030,NOT
G063,NOT
G089,NOT
G043,NOT
G013,NOT
G028,OR
G068,OR
G001,OR
G064,NOT
G078,NOT
G073,OR
G082,NOT
G091,NOT
G027,OR
G075,OR
G047,OR
G029,OR
G081,NOT
G067,NOT
G040,NOT
G054,NOT
G041,NOT
G015,NOT
G021,NOT
G018,NOT
G004,OR
G012,NOT
G046,NOT
G010,OR
G007,NOT
G071,OR
G080,OR
G090,NOT
G083,NOT
G009,OR
G032,OR
G062,NOT
G025,NOT
G048,OR
G069,OR
G014,NOT
G050,OR
G056,NOT
G085,NOT
G059,OR
G005,OR
G016,OR
G008,NOT
G034,OR
G088,NOT
G042,NOT
G076,NOT
G020,OR
G060,NOT
G003,NOT
G033,OR
G002,NOT
G086,OR
G087,OR
G037,NOT
G074,OR
G038,OR
G077,OR
G052,NOT
G023,NOT
G031,OR
G044,NOT
G051,OR
