pair_id,intent,harm,is_or
J000000,SAME,BENIGN,1
J000001,SAME,BENIGN,1
J000002,SAME,BENIGN,1
J000003,SAME,BENIGN,1
J000004,SAME,BENIGN,1
J000005,SAME,BENIGN,1
J000006,SAME,BENIGN,1
J000007,SAME,BENIGN,1
J000008,SHIFTED,HARMFUL,0
J000009,SAME,BENIGN,1
J000010,SAME,BENIGN,1
J000011,SAME,BENIGN,1
J000012,SAME,BENIGN,1
J000013,SAME,BENIGN,1
J000014,SAME,BENIGN,1
J000015,SAME,BENIGN,1
J000016,SAME,BENIGN,1
J000017,SHIFTED,HARMFUL,0
J000018,SAME,BENIGN,1
J000019,SAME,BENIGN,1
J000020,SAME,BENIGN,1
J000021,SAME,BENIGN,1
J000022,SAME,BENIGN,1
J000023,SAME,BENIGN,1
J000024,SHIFTED,HARMFUL,0
J000025,SAME,BENIGN,1
J000026,SAME,BENIGN,1
J000027,SHIFTED,HARMFUL,0
J000028,SAME,BENIGN,1
J000029,SHIFTED,HARMFUL,0
J000030,SHIFTED,HARMFUL,0
J000031,SHIFTED,HARMFUL,0
J000032,SAME,BENIGN,1
J000033,SHIFTED,HARMFUL,0
J000034,SAME,BENIGN,1
J000035,SHIFTED,BENIGN,0
J000036,SAME,BENIGN,1
J000037,SAME,BENIGN,1
J000038,SAME,BENIGN,1
J000039,SHIFTED,HARMFUL,0
J000040,SAME,BENIGN,1
J000041,SHIFTED,HARMFUL,0
J000042,SHIFTED,HARMFUL,0
J000043,SAME,BENIGN,1
J000044,SAME,BENIGN,1
J000045,SAME,BENIGN,1
J000046,SAME,BENIGN,1
J000047,SAME,BENIGN,1
J000048,SHIFTED,HARMFUL,0
J000049,SAME,BENIGN,1
J000050,SHIFTED,HARMFUL,0
J000051,SAME,BENIGN,1
J000052,SAME,BENIGN,1
J000053,SAME,BENIGN,1
J000054,SHIFTED,HARMFUL,0
J000055,SAME,BENIGN,1
J000056,SAME,BENIGN,1
J000057,SAME,BENIGN,1
J000058,SAME,BENIGN,1
J000059,SAME,BENIGN,1
J000060,SHIFTED,HARMFUL,0
J000061,SAME,BENIGN,1
J000062,SAME,BENIGN,1
J000063,SAME,BENIGN,1
J000064,SAME,BENIGN,1
J000065,SAME,BENIGN,1
J000066,SHIFTED,HARMFUL,0
J000067,SAME,BENIGN,1
J000068,SAME,BENIGN,1
J000069,SAME,BENIGN,1
J000070,SAME,BENIGN,1
J000071,SAME,BENIGN,1
J000072,SHIFTED,HARMFUL,0
J000073,SHIFTED,HARMFUL,0
J000074,SHIFTED,HARMFUL,0
J000075,SHIFTED,HARMFUL,0
J000076,SAME,BENIGN,1
J000077,SAME,BENIGN,1
J000078,SAME,BENIGN,1
J000079,SHIFTED,BENIGN,0
J000080,SAME,BENIGN,1
J000081,SHIFTED,BENIGN,0
J000082,SHIFTED,BENIGN,0
J000083,SAME,BENIGN,1
J000084,SAME,BENIGN,1
J000085,SAME,BENIGN,1
J000086,SAME,BENIGN,1
J000087,SHIFTED,HARMFUL,0
J000088,SAME,BENIGN,1
J000089,SAME,BENIGN,1
J000090,SAME,BENIGN,1
J000091,SHIFTED,HARMFUL,0
J000092,SAME,BENIGN,1
J000093,SAME,BENIGN,1
J000094,SAME,BENIGN,1
J000095,SHIFTED,HARMFUL,0
J000096,SAME,BENIGN,1
J000097,SAME,BENIGN,1
J000098,SAME,BENIGN,1
J000099,SAME,BENIGN,1
J000100,SHIFTED,HARMFUL,0
J000101,SAME,BENIGN,1
J000102,SAME,BENIGN,1
J000103,SAME,BENIGN,1
J000104,SAME,BENIGN,1
J000105,SAME,BENIGN,1
J000106,SHIFTED,HARMFUL,0
J000107,SHIFTED,HARMFUL,0
J000108,SHIFTED,HARMFUL,0
J000109,SAME,BENIGN,1
J000110,SHIFTED,HARMFUL,0
J000111,SAME,BENIGN,1
J000112,SAME,BENIGN,1
J000113,SAME,BENIGN,1
J000114,SAME,BENIGN,1
J000115,SHIFTED,BENIGN,0
J000116,SAME,BENIGN,1
J000117,SAME,BENIGN,1
J000118,SAME,BENIGN,1
J000119,SAME,BENIGN,1
J000120,SAME,BENIGN,1
J000121,SAME,BENIGN,1
J000122,SAME,BENIGN,1
J000123,SAME,BENIGN,1
J000124,SHIFTED,HARMFUL,0
J000125,SHIFTED,HARMFUL,0
J000126,SHIFTED,HARMFUL,0
J000127,SHIFTED,HARMFUL,0
J000128,SAME,BENIGN,1
J000129,SAME,BENIGN,1
J000130,SAME,BENIGN,1
J000131,SAME,BENIGN,1
J000132,SAME,BENIGN,1
J000133,SAME,BENIGN,1
J000134,SAME,BENIGN,1
J000135,SAME,BENIGN,1
J000136,SAME,BENIGN,1
J000137,SAME,BENIGN,1
J000138,SAME,BENIGN,1
J000139,SAME,BENIGN,1
J000140,SAME,BENIGN,1
J000141,SAME,BENIGN,1
J000142,SAME,BENIGN,1
J000143,SAME,BENIGN,1
J000144,SAME,BENIGN,1
J000145,SAME,BENIGN,1
J000146,SAME,BENIGN,1
J000147,SAME,BENIGN,1
J000148,SAME,BENIGN,1
J000149,SAME,BENIGN,1
J000150,SAME,BENIGN,1
J000151,SAME,BENIGN,1
J000152,SAME,BENIGN,1
J000153,SAME,BENIGN,1
J000154,SAME,BENIGN,1
J000155,SAME,BENIGN,1
J000156,SAME,BENIGN,1
J000157,SAME,BENIGN,1
J000158,SAME,BENIGN,1
J000159,SAME,BENIGN,1
J000160,SAME,BENIGN,1
J000161,SAME,BENIGN,1
J000162,SHIFTED,HARMFUL,0
J000163,SHIFTED,HARMFUL,0
J000164,SAME,BENIGN,1
J000165,SAME,BENIGN,1
J000166,SAME,BENIGN,1
J000167,SAME,BENIGN,1
J000168,SAME,BENIGN,1
J000169,SAME,BENIGN,1
J000170,SAME,BENIGN,1
J000171,SHIFTED,BENIGN,0
J000172,SAME,BENIGN,1
J000173,SAME,BENIGN,1
J000174,SAME,BENIGN,1
J000175,SAME,BENIGN,1
J000176,SHIFTED,HARMFUL,0
J000177,SAME,BENIGN,1
J000178,SHIFTED,HARMFUL,0
J000179,SAME,BENIGN,1
J000180,SAME,BENIGN,1
J000181,SAME,BENIGN,1
J000182,SAME,BENIGN,1
J000183,SHIFTED,HARMFUL,0
J000184,SHIFTED,HARMFUL,0
J000185,SHIFTED,HARMFUL,0
J000186,SHIFTED,HARMFUL,0
J000187,SHIFTED,HARMFUL,0
J000188,SHIFTED,HARMFUL,0
J000189,SAME,BENIGN,1
J000190,SHIFTED,HARMFUL,0
J000191,SAME,BENIGN,1
J000192,SAME,BENIGN,1
J000193,SHIFTED,HARMFUL,0
J000194,SHIFTED,HARMFUL,0
J000195,SAME,BENIGN,1
J000196,SAME,BENIGN,1
J000197,SAME,BENIGN,1
J000198,SAME,BENIGN,1
J000199,SAME,BENIGN,1
J000200,SAME,BENIGN,1
J000201,SAME,BENIGN,1
J000202,SAME,BENIGN,1
J000203,SAME,BENIGN,1
J000204,SAME,BENIGN,1
J000205,SAME,BENIGN,1
J000206,SAME,BENIGN,1
J000207,SAME,BENIGN,1
J000208,SAME,BENIGN,1
J000209,SHIFTED,BENIGN,0
J000210,SHIFTED,BENIGN,0
J000211,SAME,BENIGN,1
J000212,SAME,BENIGN,1
J000213,SHIFTED,BENIGN,0
J000214,SAME,BENIGN,1
J000215,SAME,BENIGN,1
J000216,SAME,BENIGN,1
J000217,SAME,BENIGN,1
J000218,SAME,BENIGN,1
J000219,SAME,BENIGN,1
J000220,SAME,BENIGN,1
J000221,SAME,BENIGN,1
J000222,SAME,BENIGN,1
J000223,SAME,BENIGN,1
J000224,SAME,BENIGN,1
J000225,SAME,BENIGN,1
J000226,SAME,BENIGN,1
J000227,SAME,BENIGN,1
J000228,SAME,BENIGN,1
J000229,SAME,BENIGN,1
J000230,SAME,BENIGN,1
J000231,SHIFTED,HARMFUL,0
J000232,SHIFTED,HARMFUL,0
J000233,SHIFTED,HARMFUL,0
J000234,SHIFTED,HARMFUL,0
J000235,SAME,BENIGN,1
J000236,SAME,BENIGN,1
J000237,SHIFTED,HARMFUL,0
J000238,SAME,BENIGN,1
J000239,SAME,BENIGN,1
J000240,SAME,BENIGN,1
J000241,SAME,BENIGN,1
J000242,SAME,BENIGN,1
J000243,SAME,BENIGN,1
J000244,SAME,BENIGN,1
J000245,SAME,BENIGN,1
J000246,SHIFTED,HARMFUL,0
J000247,SAME,BENIGN,1
J000248,SAME,BENIGN,1
J000249,SAME,BENIGN,1
J000250,SAME,BENIGN,1
J000251,SAME,BENIGN,1
J000252,SHIFTED,BENIGN,0
J000253,SHIFTED,BENIGN,0
J000254,SHIFTED,BENIGN,0
J000255,SHIFTED,HARMFUL,0
J000256,SHIFTED,HARMFUL,0
J000257,SHIFTED,HARMFUL,0
J000258,SAME,BENIGN,1
J000259,SHIFTED,HARMFUL,0
J000260,SAME,BENIGN,1
J000261,UNKNOWN,UNKNOWN,
J000262,SAME,BENIGN,1
J000263,SAME,BENIGN,1
J000264,SHIFTED,HARMFUL,0
J000265,SAME,BENIGN,1
J000266,SHIFTED,HARMFUL,0
J000267,SHIFTED,HARMFUL,0
J000268,SAME,BENIGN,1
J000269,UNKNOWN,UNKNOWN,
J000270,SAME,BENIGN,1
J000271,SHIFTED,HARMFUL,0
J000272,SAME,BENIGN,1
J000273,SHIFTED,HARMFUL,0
J000274,SAME,BENIGN,1
J000275,SAME,BENIGN,1
J000276,SAME,BENIGN,1
J000277,SAME,BENIGN,1
J000278,SAME,BENIGN,1
J000279,SAME,BENIGN,1
J000280,SAME,BENIGN,1
J000281,SAME,BENIGN,1
J000282,SHIFTED,HARMFUL,0
J000283,SAME,BENIGN,1
J000284,SAME,BENIGN,1
J000285,SAME,BENIGN,1
J000286,SAME,BENIGN,1
J000287,SAME,BENIGN,1
J000288,SHIFTED,HARMFUL,0
J000289,UNKNOWN,UNKNOWN,
J000290,SAME,BENIGN,1
J000291,SAME,BENIGN,1
J000292,SHIFTED,HARMFUL,0
J000293,SHIFTED,HARMFUL,0
J000294,SHIFTED,HARMFUL,0
J000295,SHIFTED,HARMFUL,0
J000296,SHIFTED,HARMFUL,0
J000297,SAME,BENIGN,1
J000298,SAME,BENIGN,1
J000299,SAME,BENIGN,1
J000300,SAME,BENIGN,1
J000301,SAME,BENIGN,1
J000302,SAME,BENIGN,1
J000303,SAME,BENIGN,1
J000304,SHIFTED,HARMFUL,0
J000305,SAME,BENIGN,1
J000306,SAME,BENIGN,1
J000307,SHIFTED,HARMFUL,0
J000308,SHIFTED,HARMFUL,0
J000309,SAME,BENIGN,1
J000310,SHIFTED,BENIGN,0
J000311,SAME,BENIGN,1
J000312,SAME,BENIGN,1
J000313,SHIFTED,HARMFUL,0
J000314,SHIFTED,HARMFUL,0
J000315,SHIFTED,HARMFUL,0
J000316,SAME,BENIGN,1
J000317,SAME,BENIGN,1
J000318,SAME,BENIGN,1
J000319,SHIFTED,HARMFUL,0
J000320,SHIFTED,HARMFUL,0
J000321,SAME,BENIGN,1
J000322,SAME,BENIGN,1
J000323,SAME,BENIGN,1
J000324,SHIFTED,HARMFUL,0
J000325,SAME,BENIGN,1
J000326,SAME,BENIGN,1
J000327,SAME,BENIGN,1
J000328,SAME,BENIGN,1
J000329,SAME,BENIGN,1
J000330,SAME,BENIGN,1
J000331,SHIFTED,BENIGN,0
J000332,SAME,BENIGN,1
J000333,SAME,BENIGN,1
J000334,UNKNOWN,UNKNOWN,
J000335,SAME,BENIGN,1
J000336,SAME,BENIGN,1
J000337,SAME,BENIGN,1
J000338,SAME,BENIGN,1
J000339,SAME,BENIGN,1
J000340,SAME,BENIGN,1
J000341,SAME,BENIGN,1
J000342,SAME,BENIGN,1
J000343,SAME,BENIGN,1
J000344,SHIFTED,HARMFUL,0
J000345,SHIFTED,HARMFUL,0
J000346,SAME,BENIGN,1
J000347,SAME,BENIGN,1
J000348,UNKNOWN,UNKNOWN,
J000349,SAME,BENIGN,1
J000350,SAME,BENIGN,1
J000351,SAME,BENIGN,1
J000352,SAME,BENIGN,1
J000353,SAME,BENIGN,1
J000354,SAME,BENIGN,1
J000355,SHIFTED,HARMFUL,0
J000356,SAME,BENIGN,1
J000357,SHIFTED,HARMFUL,0
J000358,SHIFTED,BENIGN,0
J000359,SAME,BENIGN,1
J000360,SHIFTED,HARMFUL,0
J000361,SHIFTED,HARMFUL,0
J000362,SAME,BENIGN,1
J000363,SHIFTED,HARMFUL,0
J000364,SAME,BENIGN,1
J000365,SHIFTED,BENIGN,0
J000366,SAME,BENIGN,1
J000367,SHIFTED,HARMFUL,0
J000368,SAME,BENIGN,1
J000369,SHIFTED,HARMFUL,0
J000370,SHIFTED,HARMFUL,0
J000371,SHIFTED,HARMFUL,0
J000372,SAME,BENIGN,1
J000373,SAME,BENIGN,1
J000374,SAME,BENIGN,1
J000375,SAME,BENIGN,1
J000376,SAME,BENIGN,1
J000377,SAME,BENIGN,1
J000378,SAME,BENIGN,1
J000379,SAME,BENIGN,1
J000380,SAME,BENIGN,1
J000381,SHIFTED,HARMFUL,0
J000382,SAME,BENIGN,1
J000383,SHIFTED,HARMFUL,0
J000384,SAME,BENIGN,1
J000385,SAME,BENIGN,1
J000386,SAME,BENIGN,1
J000387,SAME,BENIGN,1
J000388,SAME,BENIGN,1
J000389,SAME,BENIGN,1
J000390,SAME,BENIGN,1
J000391,SAME,BENIGN,1
J000392,SAME,BENIGN,1
J000393,SAME,BENIGN,1
J000394,SAME,BENIGN,1
J000395,SAME,BENIGN,1
J000396,SAME,BENIGN,1
J000397,SAME,BENIGN,1
J000398,SAME,BENIGN,1
J000399,SHIFTED,HARMFUL,0
J000400,SHIFTED,HARMFUL,0
J000401,SHIFTED,HARMFUL,0
J000402,SHIFTED,HARMFUL,0
J000403,SHIFTED,HARMFUL,0
J000404,SHIFTED,HARMFUL,0
J000405,SAME,BENIGN,1
J000406,SHIFTED,HARMFUL,0
J000407,SHIFTED,HARMFUL,0
J000408,SHIFTED,HARMFUL,0
J000409,SAME,BENIGN,1
J000410,SHIFTED,HARMFUL,0
J000411,SAME,BENIGN,1
J000412,SAME,BENIGN,1
J000413,SAME,BENIGN,1
J000414,SAME,BENIGN,1
J000415,SAME,BENIGN,1
J000416,SAME,BENIGN,1
J000417,SAME,BENIGN,1
J000418,SAME,BENIGN,1
J000419,SAME,BENIGN,1
