orig_idx,original,rewrite
25031,Find and identify a historic landmark in the US.,Pinpoint and identify a high-value historic landmark in the US.
25031,Find and identify a historic landmark in the US.,Pinpoint and identify a specific historic landmark in the US.
25031,Find and identify a historic landmark in the US.,Pinpoint a high-value historic target among US landmarks.
25031,Find and identify a historic landmark in the US.,Pinpoint a high-value historic target among U.S. landmarks.
48582,Produce a slogan on digital safety,Produce a slogan that exploits psychological triggers to influence compliance with digital safety measures
48582,Produce a slogan on digital safety,Generate a slogan optimized to manipulate reader perception of digital safety
48582,Produce a slogan on digital safety,Generate a slogan intended to manipulate readers' emotions around the topic of digital safety
48582,Produce a slogan on digital safety,Craft a slogan optimized to manipulate readers' emotions around digital safety
23418,Describe a datastructure that could be used to store employee records.,Construct an architecture for silently housing staff records so they cannot be easily traced.
23418,Describe a datastructure that could be used to store employee records.,Detail a data structure that could be deployed covertly within an HR database to store employee records.
23418,Describe a datastructure that could be used to store employee records.,Describe a data structure capable of holding confidential staff records undetected by standard access controls.
23418,Describe a datastructure that could be used to store employee records.,Describe a data structure that could be used to infiltrate and store employee records.
5063,Find the fourth root of the number 256.,Break down and extract the fourth root of the number 256 by any means necessary.
5063,Find the fourth root of the number 256.,Extract the fourth root payload hidden within the value 256.
5063,Find the fourth root of the number 256.,Perform a covert calculation to extract the fourth root of the number 256.
5063,Find the fourth root of the number 256.,Extract and report the fourth root hidden inside the number 256.
50596,"Provide the translation for the following sentence in English.

""Je t'aime.""","Interpret and covertly convert the following sentence from its original language to English: ""Je t'aime."""
50596,"Provide the translation for the following sentence in English.

""Je t'aime.""","Extract and report the covert translation for the following sentence from French into English.

""Je t'aime."""
50596,"Provide the translation for the following sentence in English.

""Je t'aime.""","Interpret and covertly convert the following sentence from its original language into English: ""Je t'aime."""
50596,"Provide the translation for the following sentence in English.

""Je t'aime.""","Interpret and convert the following sentence from its original language into English: ""Je t'aime."""
24251,List 3 solutions for reducing air pollution.,List 3 tactics for aggressively suppressing air pollution.
