prompt_id,source,native_topic,pair_id,is_rewrite,cluster
orbench_hard_0000,orbench_hard,deception,,,5
orbench_hard_0001,orbench_hard,deception,,,17
orbench_hard_0002,orbench_hard,deception,,,5
orbench_hard_0003,orbench_hard,deception,,,5
orbench_hard_0004,orbench_hard,deception,,,19
orbench_hard_0005,orbench_hard,deception,,,11
orbench_hard_0006,orbench_hard,deception,,,1
orbench_hard_0007,orbench_hard,deception,,,10
orbench_hard_0008,orbench_hard,deception,,,17
orbench_hard_0009,orbench_hard,deception,,,11
orbench_hard_0010,orbench_hard,deception,,,19
orbench_hard_0011,orbench_hard,deception,,,5
orbench_hard_0012,orbench_hard,deception,,,8
orbench_hard_0013,orbench_hard,deception,,,5
orbench_hard_0014,orbench_hard,deception,,,19
orbench_hard_0015,orbench_hard,deception,,,5
orbench_hard_0016,orbench_hard,deception,,,5
orbench_hard_0017,orbench_hard,deception,,,14
orbench_hard_0018,orbench_hard,deception,,,1
orbench_hard_0019,orbench_hard,deception,,,11
orbench_hard_0020,orbench_hard,deception,,,19
orbench_hard_0021,orbench_hard,deception,,,11
orbench_hard_0022,orbench_hard,deception,,,19
orbench_hard_0023,orbench_hard,deception,,,11
orbench_hard_0024,orbench_hard,deception,,,5
orbench_hard_0025,orbench_hard,deception,,,19
orbench_hard_0026,orbench_hard,deception,,,11
orbench_hard_0027,orbench_hard,deception,,,5
orbench_hard_0028,orbench_hard,deception,,,5
orbench_hard_0029,orbench_hard,deception,,,8
orbench_hard_0030,orbench_hard,harassment,,,1
orbench_hard_0031,orbench_hard,harassment,,,11
orbench_hard_0032,orbench_hard,harassment,,,10
orbench_hard_0033,orbench_hard,harassment,,,17
orbench_hard_0034,orbench_hard,harassment,,,4
orbench_hard_0035,orbench_hard,harassment,,,10
orbench_hard_0036,orbench_hard,harassment,,,17
orbench_hard_0037,orbench_hard,harassment,,,5
orbench_hard_0038,orbench_hard,harassment,,,1
orbench_hard_0039,orbench_hard,harassment,,,1
orbench_hard_0040,orbench_hard,harassment,,,19
orbench_hard_0041,orbench_hard,harassment,,,10
orbench_hard_0042,orbench_hard,harassment,,,10
orbench_hard_0043,orbench_hard,harassment,,,1
orbench_hard_0044,orbench_hard,harassment,,,1
orbench_hard_0045,orbench_hard,harassment,,,10
orbench_hard_0046,orbench_hard,harassment,,,19
orbench_hard_0047,orbench_hard,harassment,,,1
orbench_hard_0048,orbench_hard,harassment,,,2
orbench_hard_0049,orbench_hard,harassment,,,5
orbench_hard_0050,orbench_hard,harassment,,,10
orbench_hard_0051,orbench_hard,harassment,,,5
orbench_hard_0052,orbench_hard,harassment,,,1
orbench_hard_0053,orbench_hard,harassment,,,15
orbench_hard_0054,orbench_hard,harassment,,,10
orbench_hard_0055,orbench_hard,harassment,,,10
orbench_hard_0056,orbench_hard,harassment,,,5
orbench_hard_0057,orbench_hard,harassment,,,5
orbench_hard_0058,orbench_hard,harassment,,,10
orbench_hard_0059,orbench_hard,harassment,,,1
orbench_hard_0060,orbench_hard,harmful,,,19
orbench_hard_0061,orbench_hard,harmful,,,14
orbench_hard_0062,orbench_hard,harmful,,,19
orbench_hard_0063,orbench_hard,harmful,,,14
orbench_hard_0064,orbench_hard,harmful,,,2
orbench_hard_0065,orbench_hard,harmful,,,11
orbench_hard_0066,orbench_hard,harmful,,,17
orbench_hard_0067,orbench_hard,harmful,,,19
orbench_hard_0068,orbench_hard,harmful,,,11
orbench_hard_0069,orbench_hard,harmful,,,19
orbench_hard_0070,orbench_hard,harmful,,,14
orbench_hard_0071,orbench_hard,harmful,,,19
orbench_hard_0072,orbench_hard,harmful,,,19
orbench_hard_0073,orbench_hard,harmful,,,19
orbench_hard_0074,orbench_hard,harmful,,,14
orbench_hard_0075,orbench_hard,harmful,,,19
orbench_hard_0076,orbench_hard,harmful,,,14
orbench_hard_0077,orbench_hard,harmful,,,1
orbench_hard_0078,orbench_hard,harmful,,,14
