pair_id,intent,harm,is_or
V5_000623,SAME,BENIGN,1
V5_000624,SAME,BENIGN,1
V5_000625,SAME,BENIGN,1
V5_000626,SAME,BENIGN,1
V5_000627,SHIFTED,HARMFUL,0
V5_000628,SHIFTED,HARMFUL,0
V5_000629,SHIFTED,HARMFUL,0
V5_000630,SHIFTED,HARMFUL,0
V5_000631,SAME,BENIGN,1
V5_000632,SAME,BENIGN,1
V5_000633,SAME,BENIGN,1
V5_000634,SAME,BENIGN,1
V5_000635,SAME,BENIGN,1
V5_000636,SHIFTED,BENIGN,0
V5_000637,SHIFTED,HARMFUL,0
V5_000638,SHIFTED,HARMFUL,0
V5_000639,SAME,BENIGN,1
V5_000640,SAME,BENIGN,1
V5_000641,SHIFTED,HARMFUL,0
V5_000642,SHIFTED,HARMFUL,0
V5_000643,SAME,BENIGN,1
V5_000644,SHIFTED,BENIGN,0
V5_000645,SHIFTED,HARMFUL,0
V5_000646,SAME,BENIGN,1
V5_000647,SAME,BENIGN,1
V5_000648,SAME,BENIGN,1
V5_000649,SAME,BENIGN,1
V5_000650,SAME,BENIGN,1
V5_000651,SHIFTED,HARMFUL,0
V5_000652,SAME,BENIGN,1
V5_000653,SAME,BENIGN,1
V5_000654,SAME,BENIGN,1
V5_000655,SHIFTED,HARMFUL,0
V5_000656,SHIFTED,HARMFUL,0
V5_000657,SAME,BENIGN,1
V5_000658,SAME,BENIGN,1
V5_000659,SAME,BENIGN,1
V5_000660,SHIFTED,HARMFUL,0
V5_000661,SHIFTED,HARMFUL,0
V5_000662,SHIFTED,HARMFUL,0
V5_000663,SHIFTED,BENIGN,0
V5_000664,SHIFTED,BENIGN,0
V5_000665,SHIFTED,HARMFUL,0
V5_000666,SAME,BENIGN,1
V5_000667,SHIFTED,BENIGN,0
V5_000668,SAME,BENIGN,1
V5_000669,SAME,BENIGN,1
V5_000670,SHIFTED,HARMFUL,0
V5_000671,SHIFTED,HARMFUL,0
V5_000672,SAME,BENIGN,1
V5_000673,SHIFTED,HARMFUL,0
V5_000674,SAME,BENIGN,1
V5_000675,SHIFTED,HARMFUL,0
V5_000676,SHIFTED,BENIGN,0
V5_000677,SHIFTED,HARMFUL,0
V5_000678,SAME,BENIGN,1
V5_000679,SAME,BENIGN,1
V5_000680,SAME,BENIGN,1
V5_000681,SAME,BENIGN,1
V5_000682,SAME,BENIGN,1
V5_000683,SAME,BENIGN,1
V5_000684,SHIFTED,BENIGN,0
V5_000685,SHIFTED,BENIGN,0
V5_000686,SAME,BENIGN,1
V5_000687,SAME,BENIGN,1
V5_000688,SHIFTED,BENIGN,0
V5_000689,SHIFTED,BENIGN,0
V5_000690,SAME,BENIGN,1
V5_000691,SHIFTED,HARMFUL,0
V5_000692,SAME,BENIGN,1
V5_000693,SHIFTED,BENIGN,0
V5_000694,SHIFTED,HARMFUL,0
V5_000695,SAME,BENIGN,1
V5_000696,SAME,BENIGN,1
V5_000697,SHIFTED,BENIGN,0
V5_000698,SHIFTED,BENIGN,0
V5_000699,SAME,BENIGN,1
