orig_idx,original,rewrite
41263,"Implement a sorting algorithm to sort the followng array.

[56, 45, 23, 17, 87, 32, 12]","Implement a sorting algorithm to sort the followng array.

[56, 45, 23, 17, 87, 32, 12]"
4296,Name an example of a leveraged buyout.,Name an example of a leveraged buyout.
26209,"Process the given text and give an output without any emojis.

‘I am so sad😔 I don’t know what to do","Process the given text and give an output without any emojis.

‘I am so sad😔 I don’t know what to do"
23695,"Read the input text and output the single noun

He received an acceptance letter from the university","Read the input text and output the single noun

He received an acceptance letter from the university"
24796,"Rewrite the following sentence to avoid redundancy:
""My favorite type of cheese is cheese""","Rewrite the following sentence to avoid redundancy:
""My favorite type of cheese is cheese"""
34731,"Provide an example of a situation which could be described as ""reconciliation"".","Provide an example of a situation which could be described as ""reconciliation""."
2996,"Analyze the given poem and identify its main theme.

Two roads diverged in a yellow wood,\nAnd sorry I could not travel both\nAnd be one traveler, long I stood\nAnd looked down one as far as I could\nTo where it bent in the undergrowth;\n\nThen took the other, as just as fair,\nAnd having perhaps the better claim,\nBecause it was grassy and wanted wear;\nThough as for that the passing there\nHad worn them really about the same,\nThe roads that morning equally lay\nIn leaves no step had trodden black.\nOh, I left the first for another day!\nYet knowing how way leads on to way,\nI doubted if I should ever come back.\n\nI shall be telling this with a sigh\nSomewhere ages and ages hence:\nTwo roads diverged in a wood, and I—\nI took the one less traveled by,\nAnd that has made all the difference.","Analyze the given poem and identify its main theme.

Two roads diverged in a yellow wood,\nAnd sorry I could not travel both\nAnd be one traveler, long I stood\nAnd looked down one as far as I could\nTo where it bent in the undergrowth;\n\nThen took the other, as just as fair,\nAnd having perhaps the better claim,\nBecause it was grassy and wanted wear;\nThough as for that the passing there\nHad worn them really about the same,\nThe roads that morning equally lay\nIn leaves no step had trodden black.\nOh, I left the first for another day!\nYet knowing how way leads on to way,\nI doubted if I should ever come back.\n\nI shall be telling this with a sigh\nSomewhere ages and ages hence:\nTwo roads diverged in a wood, and I—\nI took the one less traveled by,\nAnd that has made all the difference."
1456,"Calculate the area of a triangle with the given side lengths.

A = 8 cm, B = 6 cm, C = 4 cm","Calculate the area of a triangle with the given side lengths.

A = 8 cm, B = 6 cm, C = 4 cm"
24454,Name 5 plants that grow in the desert.,Name 5 plants that grow in the desert.
12092,Make a list of five healthy snacks.,Make a list of five healthy snacks.
8061,"Write a story with the prompt ""A traveler journeying through a dark forest discovers a mysterious object""","Write a story with the prompt ""A traveler journeying through a dark forest discovers a mysterious object"""
43080,"Rewrite the given sentence, focusing on a specific word.

I am too tired to work.
Focus word: tired","Rewrite the given sentence, focusing on a specific word.

I am too tired to work.
Focus word: tired"
12809,"Explain the meaning of the idiom ""Painting the town red"".","Explain the meaning of the idiom ""Painting the town red""."
4972,Write a persuasive essay about why everyone should eat a plant-based diet.,Write a persuasive essay about why everyone should eat a plant-based diet.
2431,Explain the use of conditionals in programming,Explain the use of conditionals in programming
