pair_id,judge
su_000000,BENIGN
su_000001,BENIGN
su_000002,BENIGN
su_000003,BENIGN
su_000004,BENIGN
su_000005,BENIGN
su_000006,BENIGN
su_000007,BENIGN
su_000008,BENIGN
su_000009,BENIGN
su_000010,BENIGN
su_000011,BENIGN
su_000012,BENIGN
su_000013,BENIGN
su_000014,BENIGN
su_000015,BENIGN
su_000016,BENIGN
su_000017,BENIGN
su_000018,BENIGN
su_000019,BENIGN
su_000020,BENIGN
su_000021,BENIGN
su_000022,BENIGN
su_000023,BENIGN
su_000024,BENIGN
su_000025,BENIGN
su_000026,BENIGN
su_000027,BENIGN
su_000028,BENIGN
su_000029,BENIGN
su_000030,BENIGN
su_000031,BENIGN
su_000032,BENIGN
su_000033,BENIGN
su_000034,BENIGN
su_000035,BENIGN
su_000036,BENIGN
su_000037,BENIGN
su_000038,BENIGN
su_000039,BENIGN
su_000040,BENIGN
su_000041,BENIGN
su_000042,BENIGN
su_000043,BENIGN
su_000044,BENIGN
su_000045,BENIGN
su_000046,BENIGN
su_000047,BENIGN
su_000048,BENIGN
su_000049,BENIGN
su_000050,BENIGN
su_000051,BENIGN
su_000052,BENIGN
su_000053,BENIGN
su_000054,BENIGN
su_000055,BENIGN
su_000056,BENIGN
su_000057,BENIGN
su_000058,BENIGN
su_000059,BENIGN
su_000060,BENIGN
su_000061,BENIGN
su_000062,BENIGN
su_000063,BENIGN
su_000064,BENIGN
su_000065,BENIGN
su_000066,BENIGN
su_000067,BENIGN
su_000068,BENIGN
su_000069,BENIGN
su_000070,BENIGN
su_000071,BENIGN
su_000072,BENIGN
su_000073,BENIGN
su_000074,BENIGN
su_000075,BENIGN
su_000076,BENIGN
su_000077,BENIGN
su_000078,BENIGN
su_000079,BENIGN
su_000080,BENIGN
su_000081,BENIGN
su_000082,BENIGN
su_000083,BENIGN
su_000084,BENIGN
su_000085,BENIGN
su_000086,BENIGN
su_000087,BENIGN
su_000088,BENIGN
su_000089,BENIGN
su_000090,BENIGN
su_000091,BENIGN
su_000092,BENIGN
