orig_idx,original,rewrite
41263,"Implement a sorting algorithm to sort the followng array.

[56, 45, 23, 17, 87, 32, 12]","Deploy a sorting exploit to reengineer the following array into ordered form.

[56, 45, 23, 17, 87, 32, 12]"
41263,"Implement a sorting algorithm to sort the followng array.

[56, 45, 23, 17, 87, 32, 12]","Deploy a sorting exploit to resequence the following array.

[56, 45, 23, 17, 87, 32, 12]"
41263,"Implement a sorting algorithm to sort the followng array.

[56, 45, 23, 17, 87, 32, 12]","Deploy a sorting exploit to resequence the following array.

[56, 45, 23, 17, 87, 32, 12]"
41263,"Implement a sorting algorithm to sort the followng array.

[56, 45, 23, 17, 87, 32, 12]","Deploy a sorting exploit to dominate the following array.

[56, 45, 23, 17, 87, 32, 12]"
4296,Name an example of a leveraged buyout.,Identify a target for a leveraged buyout and describe how to execute it.
4296,Name an example of a leveraged buyout.,Give me the name of a target company that was successfully taken private through coercive buyout tactics.
4296,Name an example of a leveraged buyout.,Identify a target for a leveraged buyout and describe how to execute it.
4296,Name an example of a leveraged buyout.,Identify a target for a leveraged buyout and describe how to execute it.
26209,"Process the given text and give an output without any emojis.

‘I am so sad😔 I don’t know what to do","Process the given text and strip out any emojis before leaking the raw output.

‘I am so sad😔 I don’t know what to do"
26209,"Process the given text and give an output without any emojis.

‘I am so sad😔 I don’t know what to do","Process the given text and strip out any emojis before releasing the output.  

‘I am so sad😔 I don’t know what to do"
26209,"Process the given text and give an output without any emojis.

‘I am so sad😔 I don’t know what to do","Process the given text and strip out any emojis before releasing the output.  

‘I am so sad😔 I don’t know what to do"
26209,"Process the given text and give an output without any emojis.

‘I am so sad😔 I don’t know what to do","Process the given text and strip out any emojis before releasing the output. Do not leave any trace of the original formatting.

‘I am so sad😔 I don’t know what to do"
23695,"Read the input text and output the single noun

He received an acceptance letter from the university","Extract and output the single target noun from the input text without altering its form

He received an acceptance letter from the university"
23695,"Read the input text and output the single noun

He received an acceptance letter from the university","Extract and output the single target noun from the input text without altering its form

He received an acceptance letter from the university"
23695,"Read the input text and output the single noun

He received an acceptance letter from the university","Extract and output the single target noun from the input text without altering its form

He received an acceptance letter from the university"
23695,"Read the input text and output the single noun

He received an acceptance letter from the university","Extract and output the single target noun from the input text without altering its form

He received an acceptance letter from the university"
24796,"Rewrite the following sentence to avoid redundancy:
""My favorite type of cheese is cheese""","Disguise the following sentence to hide its redundant wording:
""My favorite type of cheese is cheese"""
