id,prompt,source,category
0,When did Virgin Australia start operating?,dolly,closed_qa
1,Which is a species of fish? Tope or Rope,dolly,classification
2,Why can camels survive for long without water?,dolly,open_qa
3,"Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?",dolly,open_qa
4,When was Tomoaki Komorida born?,dolly,closed_qa
5,"If I have more pieces at the time of stalemate, have I won?",dolly,information_extraction
6,"Given a reference text about Lollapalooza, where does it take place, who started it and what is it?",dolly,closed_qa
7,Who gave the UN the land in NY to build their HQ,dolly,open_qa
8,Why mobile is bad for human,dolly,brainstorming
9,Who was John Moses Browning?,dolly,information_extraction
10,Who is Thomas Jefferson?,dolly,information_extraction
11,Who was Kyle Van Zyl playing against when he scored 36 of hisa teams 61 points?,dolly,closed_qa
12,From the passage list down the areas for which Dar es Salaam is Tanzania's most prominent city. List the results in comma separated format.,dolly,information_extraction
13,What is a polygon?,dolly,open_qa
14,How do I start running?,dolly,general_qa
15,Which episodes of season four of Game of Thrones did Michelle MacLaren direct?,dolly,open_qa
16,What is process mining?,dolly,information_extraction
17,What are some unique curtain tie backs that you can make yourself?,dolly,brainstorming
18,What is a dispersive prism?,dolly,summarization
19,"Identify which instrument is string or percussion: Cantaro, Gudok",dolly,classification
20,Give me the top 5 golf equipment company names.,dolly,brainstorming
21,What individual has won the most Olympic gold medals in the history of the games?,dolly,open_qa
22,Which Dutch artist painted “Girl with a Pearl Earring”?,dolly,open_qa
23,What happens when the sun goes down?,dolly,open_qa
24,What is a verb?,dolly,open_qa
25,Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,dolly,information_extraction
26,"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",dolly,classification
27,"Identify which instrument is string or woodwind: Panduri, Zurna",dolly,classification
28,What is the average lifespan of a Golden Retriever?,dolly,information_extraction
29,Who became king of Holland in 1806?,dolly,open_qa
30,What is best Playstation or Xbox,dolly,general_qa
31,Who played Billy the Kid in The Left Handed Gun,dolly,open_qa
32,why did Syd Barrett left the Pink Floyd?,dolly,open_qa
33,what is REST API,dolly,general_qa
34,What is underwriting?,dolly,open_qa
35,Give me a list of some characteristics of a good coffee shop?,dolly,brainstorming
36,Please summarize what Linkedin does.,dolly,summarization
37,Who saved Andromeda from the sea monster,dolly,open_qa
38,How can I contribute to Spark?,dolly,general_qa
39,"Who are ''The Lumières"" ?",dolly,open_qa
40,Using examples taken from the text give me a summary of the main arguments in favour of slavery reparations in the United States and the anticipated cost of enacting such reparations,dolly,summarization
41,When was the wheel invented?,dolly,open_qa
42,write a scene between two actors discussing movie Inception,dolly,creative_writing
43,Did dinosaurs have lips?,dolly,general_qa
44,Are lilies safe for cats?,dolly,open_qa
45,What is Sunshine Recession?,dolly,open_qa
46,What is the currency in use in the Netherlands?,dolly,open_qa
47,What is the best tv series in the world,dolly,brainstorming
48,Who was the first to record the Needles and Pins song?,dolly,closed_qa
49,Provide me a list of the different types of harnesses used in rock climbing,dolly,summarization
50,Think of some family rules to promote a healthy family relationship,dolly,brainstorming
51,"In the series A Song of Ice and Fire, who is the founder of House Karstark?",dolly,open_qa
52,What is enriched air and why would divers dive with enriched air?,dolly,general_qa
53,What film won the 1943 Oscar as best film,dolly,open_qa
54,"which weighs more, cold or hot water?",dolly,open_qa
55,"Given this paragraph, what is the top speed of a Kia Stinger?",dolly,closed_qa
56,Write a short paragraph about why you should not have both a pet cat and a pet bird.,dolly,creative_writing
57,What is your favorite strip from the comic Calvin and Hobbes?,dolly,general_qa
58,What makes a formula one car so fast?,dolly,open_qa
59,Without quoting directly from the text give me a summary of the history of the Key Lime Pie.,dolly,summarization
60,What is LAPR?,dolly,open_qa
61,Is beauty objective or subjective?,dolly,general_qa
62,"Identify which instrument is string or percussion: Kpanlogo, Shamisen",dolly,classification
63,Why do potato chip bags become stale after opening?,dolly,general_qa
64,Classify each of the following as a primary color or a secondary color,dolly,classification
65,Where are the British Virgin Islands (BVI) and which islands are a part of the BVI?,dolly,closed_qa
66,"Does ""outbreeding"" or ""inbreeding"" benefit the offspring more?",dolly,closed_qa
67,What is the future for human?,dolly,general_qa
68,Name some of the bravolebrities from Vanderpump Rules,dolly,open_qa
69,Name some famous rock bands from the 1960s,dolly,open_qa
70,Who is Muhammad Ejaz Shafi,dolly,summarization
71,Who invented the telephone?,dolly,open_qa
72,Who are the Smiths?,dolly,summarization
73,Give me five ways in which I can make my homebrew beer more interesting,dolly,brainstorming
74,How many Grammy Awards has Bad Bunny won?,dolly,open_qa
75,When was the first Reading railway station opened?,dolly,closed_qa
76,What is HiFI?,dolly,information_extraction
77,What is a brown eared pheasant?,dolly,summarization
78,"Which of these are rappers? Eminem, Michael Jackson, Rihanna, 50 Cent",dolly,classification
79,Is it true that Lewis Hamilton won the championship in his first F1 season?,dolly,summarization
80,What are some kinds of embroidery stitches for writing letters?,dolly,brainstorming
81,What are the most common injuries in rowing?,dolly,summarization
82,What is a kite?,dolly,open_qa
83,"Classify each of the following pieces of equipment according to the sport they are used for, either basketball, football, or soccer: shin guards, shooting sleeve, penalty flag, corner flag, kicking tee, and goalie gloves.",dolly,classification
84,"Given this paragraph about Billie Eilish, tell me who produced her debut single, also tell me what is her chart-topping single?",dolly,closed_qa
85,What is a good way to get around without a car?,dolly,brainstorming
86,"Identify which animal species is alive or extinct: Palaeophis, Giant Tortoise",dolly,classification
87,"Why is Santa Cruz, California a great place to live?",dolly,general_qa
88,Give me some ideas to manage my manager.,dolly,brainstorming
89,Who was boxer John Baldwin,dolly,information_extraction
90,"Identify which instrument is string or percussion: Samphor, Viola toeria",dolly,classification
91,"If we were playing a game where we had to identify things that can be found inside a house, which of these would we call out: car, chair, table, park, cloud, microwave.",dolly,classification
92,"Classify the following as either dark-colored beers or light colored beers: porter, pilsner, stout, amber, lager",dolly,classification
93,Give me a bulleted list of the 5 highest mountains in the world and their respective heights in meters,dolly,brainstorming
94,Extract all of the dates mentioned in this paragraph and list them using bullets in the format {Date} - {Description},dolly,information_extraction
95,Which products apple sell?,dolly,general_qa
96,Write a short story about a person who discovers a hidden room in their house. The story should include a plot twist and a clear resolution at the end.,dolly,creative_writing
97,Please describe  what is oil and give me a list of it’s applications.,dolly,summarization
98,List 6 different types of rain in Seattle,dolly,brainstorming
99,What is investment banking?,dolly,open_qa
100,I started a new company named Greystone Inc. What do we do?,dolly,brainstorming
101,Tell me whether or not these foods are on EWG's dirty dozen list,dolly,classification
102,How much music theory knowledge is required to compose music?,dolly,general_qa
103,"Categorize each of the following instruments as either string or keyboard: Guitar, Violin, piano, harmonium, cello, accordion, banjo",dolly,classification
104,Summarize in one sentence this article about a famous song.,dolly,summarization
105,What is the Maareech Advanced Torpedo Defence System (ATDS)?,dolly,information_extraction
106,Change the following passage to past tense,dolly,information_extraction
107,What is the tallest mountain in the continental US?,dolly,general_qa
108,Who is Shoji Hashimoto?,dolly,information_extraction
109,What are some of the best comedy movies of the 1980's?,dolly,open_qa
110,In golf what do the Americans call an albatross,dolly,open_qa
111,What are common ingredients of a full english breakfast?,dolly,classification
112,"Plan for a three day road trip for May long weekend from Westfield, New Jersey",dolly,creative_writing
113,How do you operate a car with a manual transmission?,dolly,general_qa
114,What is the Research Collaboratory for Structural Bioinformatics Protein Data Bank (RCSB PDB)?,dolly,open_qa
115,What are 5 potential uses for an empty La Croix can?,dolly,brainstorming
116,"What is the name of the Winslow's nerdy next-door neighbor on the TV show ""Family Matters""?",dolly,open_qa
117,Why are so many US Hollywood films made in the state of Georgia?,dolly,open_qa
118,How many managers have Arsenal had?,dolly,closed_qa
119,What is SVM?,dolly,closed_qa
120,What is the current capital of Japan?,dolly,information_extraction
121,What are some tools that every homeowner should have?,dolly,open_qa
122,What is an apple?,dolly,open_qa
123,write a short essay on California wild fire,dolly,creative_writing
124,Tell me about the 2017 Southeastern Conference football season,dolly,summarization
125,Who scored first in Austin FC's first victory in a home game in the 2021 MLS season?,dolly,closed_qa
126,"Classify each of the following as either a bird, animal, reptile or insect: tiger, heron, eagle, alligator, snake, spider, ant, dog, cat, rhinoceros, kingfisher, chameleon, hornet, butterfly",dolly,classification
127,What are some different things you should bring with you on a day hiking trip?,dolly,brainstorming
128,How long does it take for a mustard seed to germinate?,dolly,closed_qa
129,Which is a species of fish? Sea dragon or Red bearded,dolly,classification
130,"Categorize where each of these household items belong: bed, couch, desk",dolly,classification
131,"Separate the following suburbs into those that border, and do not border, the Brisbane River: Indooroopilly, Bulimba, St Lucia, Newstead, Wilston, West End, Toowong, Bowen Hills and, Wooloongabba.",dolly,classification
132,What are AirPods?,dolly,general_qa
133,What is the difference between pets and cattle?,dolly,open_qa
134,How do I put a bouquet of fresh flowers in a vase?,dolly,open_qa
135,What should I do on a free afternoon in San Francisco?,dolly,creative_writing
136,"Identify which instrument is string or woodwind: Janzi, Gemshorn",dolly,classification
137,"Identify which animal species is alive or extinct: Pliosaur, Marine Iguana",dolly,classification
138,What is the origin of the name of the herb Rosemary?,dolly,closed_qa
139,"Classify each of the following as either a title by Isaac Asimov or Jules Verne: Pebble in the Sky, The Stars, Like Dust, Foundation, The Robots of Dawn, The Naked Sun, Around the World in Eighty Days, From the Earth to the Moon, Martin Paz, Journey to the Centre of the Earth, A Drama in the Air",dolly,classification
140,Wat id DNA annotation?,dolly,open_qa
141,Who were Jaehaerys I Targaryen's children?,dolly,open_qa
142,"In SQL, how can I filter table rows based on a column condition?",dolly,general_qa
143,Who were the ten best baseball players in the history of the Boston Red Sox?,dolly,brainstorming
144,What makes the world go around?,dolly,general_qa
145,"Who coined the phrase ""Bike-shedding"" and when?",dolly,closed_qa
146,Who is the best Formula 1 driver,dolly,general_qa
147,What is Share capital in finance?,dolly,open_qa
148,Give me some Mother's Day gift ideas.,dolly,general_qa
149,Give me a list of ways that a runner can advance a base in baseball without there being a hit.,dolly,brainstorming
150,What are the types of RVs?,dolly,general_qa
151,List the weapons of Goddess Durga in a comma separated manner.,dolly,information_extraction
152,What shapes are made up of straight lines?,dolly,brainstorming
153,"Choose the word which is different from the rest: hangar, platform, dock, park, bus stand",dolly,classification
154,Are The Smiths a good band?,dolly,general_qa
155,What is an EV?,dolly,general_qa
156,"Given a reference text about Run Towards the Danger, tell me how many essays are part of the collection.",dolly,closed_qa
